quine	time	sincelast
1	3.875	3.875
2	54.602	50.727
3	127.924	73.322
4	144.91500000000002	16.991
5	281.871	136.956
6	331.175	49.304
7	393.447	62.272
8	403.462	10.015
9	415.572	12.11
10	432.551	16.979
11	724.561	292.01
12	725.267	0.706
13	758.262	32.995000000000005
14	763.813	5.551
15	798.755	34.942
16	982.544	183.789
17	988.505	5.961
18	989.134	0.629
19	996.831	7.697
20	1022.524	25.693
21	1051.075	28.551
22	1471.595	420.52
23	1517.946	46.351
24	1543.245	25.299
25	1758.098	214.853
26	1815.132	57.034
27	1865.82	50.688
28	1866.154	0.334
29	1867.201	1.047
30	1867.963	0.762
31	1879.675	11.712
32	1894.059	14.384
33	2024.94	130.881
34	2129.449	104.509
35	2157.478	28.029
36	2261.696	104.218
37	2331.799	70.103
38	2605.323	273.524
39	2637.592	32.269
40	2661.334	23.742
41	2714.199	52.865
42	2723.841	9.642
43	2727.531	3.69
44	2736.461	8.93
45	2761.275	24.814
46	2885.987	124.712
47	2988.404	102.417
48	3453.7	465.296
49	3536.164	82.464
50	3570.205	34.041
51	3854.887	284.682
52	4140.796	285.909
53	4232.51	91.714
54	4405.739	173.229
55	4461.484	55.745
56	4551.751	90.267
57	5012.151	460.4
58	5484.583	472.432
59	5524.665	40.082
60	5778.026	253.361
61	5814.458	36.432
62	5823.511	9.053
63	5926.845	103.334
64	5962.625	35.78
65	6171.338	208.713
66	6246.387	75.049
67	6264.314	17.927
68	6416.474	152.16
69	6684.681	268.207
70	7058.674	373.993
71	7427.747	369.073
72	7475.134	47.387
73	7485.231	10.097
74	7541.507	56.276
75	8139.618	598.111
76	8198.474	58.856
77	8268.979	70.505
78	8279.843	10.864
79	8296.27	16.427
80	8498.051	201.781
81	8594.828	96.777
82	8712.738	117.91
83	8715.744999999999	3.007
84	8816.893	101.148
85	8958.989	142.096
86	9047.386	88.397
87	9105.057	57.671
88	9161.707	56.65
89	9239.838	78.131
90	9289.157	49.319
91	9394.619	105.462
92	9781.130000000001	386.511
93	9830.653	49.523
94	10315.911	485.258
95	10332.130000000001	16.219
96	10706.963	374.833
97	10760.56	53.597
98	10932.62	172.06
99	12037.558	1104.938
100	13187.471	1149.913
101	13189.281	1.81
102	13248.948	59.667
103	13319.033	70.08500000000001
104	13380.761	61.728
105	13716.841	336.08
106	13727.809	10.968
107	13751.177	23.368
108	13972.098	220.921
109	14983.31	1011.212
110	15053.31	7e1
111	15254.718	201.408
112	15868.654	613.936
113	16178.944	310.28999999999996
114	17795.116	1616.172
115	17967.395	172.279
116	18203.67	236.275
117	18282.513	78.843
118	18360.412	77.899
119	18364.144	3.732
120	18395.489	31.345
121	18615.383	219.894
122	18978.121	362.738
123	19097.132	119.011
124	19611.496	514.364
125	19629.002	17.506
126	19721.227	92.225
127	19752.476	31.249
128	19783.269	30.793
129	20209.437	426.168
130	20211.944	2.507
131	20304.704	92.76
132	20313.046	8.342
133	20373.414	60.368
134	20465.353	91.939
135	20523.867	58.514
136	21112.968	589.101
137	21192.675	79.707
138	21226.773	34.098
139	21645.805	419.032
140	21825.397	179.592
141	23801.6	1976.203
142	24017.239	215.639
143	24106.754	89.515
144	24595.242	488.488
145	24624.529	29.287
146	24981.251	356.722
147	25276.263	295.012
148	25300.242	23.979
149	26404.708	1104.466
150	26504.755	100.047
151	26775.263	270.508
152	27050.32	275.057
153	27327.743	277.423
154	28308.125	980.382
155	28492.412	184.287
156	28523.804	31.392
157	28528.952	5.148
158	28846.735	317.783
159	28924.204	77.469
160	28946.02	21.816
161	29450.013	503.993
162	29756.725	306.712
163	29829.833	73.108
164	29873.503	43.67
165	29925.432	51.929
166	29949.065	23.633
167	30143.643	194.578
168	30358.984	215.341
169	30495.51	136.526
170	30721.182	225.672
171	30902.225	181.043
172	31112.378	210.153
173	31306.531	194.153
174	31330.278	23.747
175	31504.334	174.056
176	31865.107	360.773
177	32844.320999999996	979.214
178	32910.429000000004	66.108
179	33026.972	116.543
180	33530.687000000005	503.715
181	33548.091	17.404
182	34240.561	692.47
183	34560.762	320.201
184	36022.183	1461.421
185	38279.842	2257.659
186	38291.571	11.729
187	38407.428	115.857
188	38617.441	210.013
189	38740.625	123.184
190	39375.227	634.602
191	39395.613	20.386
192	39442.784	47.171
193	39860.979	418.195
194	41180.195	1319.216
195	42400.752	1220.557
196	42551.693	150.941
197	42924.683	372.99
198	44591.07	1666.387
199	47871.825	3280.755
200	48207.541	335.716
201	48347.497	139.956
202	49688.756	1341.259
203	49937.768	249.012
204	50772.049	834.281
205	50972.355	200.306
206	51031.532	59.177
207	51845.648	814.116
208	51998.62	152.972
209	52477.182	478.562
210	53398.622	921.44
211	53549.848	151.226
212	53553.149	3.301
213	54999.211	1446.062
214	55358.858	359.647
215	55537.084	178.226
216	57920.552	2383.468
217	58281.305	360.753
218	58456.89	175.585
219	59329.062	872.172
220	59395.192	66.13
221	59910.523	515.331
222	63060.606	3150.083
223	63295.287	234.681
224	63749.232	453.945
225	65445.59	1696.358
226	65917.14	471.55
227	69083.304	3166.164
228	69959.721	876.417
229	70383.597	423.876
230	70558.141	174.544
231	71558.462	1000.321
232	71813.368	254.906
233	72234.156	420.788
234	73482.283	1248.127
235	73894.2	411.917
236	73965.042	70.842
237	74706.389	741.347
238	74741.838	35.449
239	74769.202	27.364
240	74796.569	27.367
241	74847.651	51.082
242	74918.076	70.425
243	74929.646	11.57
244	75089.983	160.337
245	75274.911	184.928
246	75371.836	96.925
247	75513.234	141.398
248	75564.775	51.541
249	75816.362	251.587
250	75820.006	3.644
251	77224.448	1404.442
252	79015.622	1791.174
253	79045.954	30.332
254	81263.808	2217.854
255	81815.806	551.998
256	82823.222	1007.416
257	82829.296	6.074
258	83046.005	216.709
259	83274.728	228.723
260	83512.719	237.991
261	85278.834	1766.115
262	85366.946	88.112
263	85408.542	41.596
264	85492.968	84.426
265	86185.479	692.511
266	86240.598	55.119
267	86729.266	488.668
268	89331.349	2602.083
269	89531.867	200.518
270	89598.257	66.39
271	89677.952	79.695
272	90183.37	505.418
273	93495.193	3311.823
274	93669.112	173.919
275	94823.055	1153.943
276	95285.492	462.437
277	97183.06	1897.568
278	97785.439	602.379
279	97824.032	38.593
280	97880.059	56.027
281	98323.329	443.27
282	98603.066	279.737
283	101524.048	2920.982
284	103261.095	1737.047
285	103552.725	291.63
286	103650.396	97.671
287	104951.584	1301.188
288	105272.03	320.446
289	105932.771	660.741
290	107457.53	1524.759
291	107704.782	247.252
292	108905.916	1201.134
293	110387.953	1482.037
294	110623.719	235.766
295	110792.116	168.397
296	110807.287	15.171
297	114429.416	3622.129
