quine	time	sincelast
1	21.196	21.196
2	774.089	752.893
3	825.701	51.612
4	878.151	52.45
5	1002.606	124.455
6	1004.117	1.511
7	1039.781	35.664
8	1222.522	182.741
9	2119.394	896.872
10	2430.974	311.58000000000004
11	2791.029	360.055
12	2977.24	186.211
13	3472.216	494.976
14	3752.001	279.78499999999997
15	4063.535	311.534
16	4301.852	238.317
17	5045.93	744.078
18	5218.607	172.677
19	5519.788	301.181
20	7598.085	2078.297
21	8093.015	494.93
22	8557.763	464.748
23	9959.522	1401.759
24	10607.131	647.609
25	11527.693	920.562
26	12532.806	1005.113
27	12857.791	324.985
28	13543.639	685.848
29	13591.574	47.935
30	18545.523	4953.949
31	19559.1	1013.577
32	20256.545	697.445
33	23401.035	3144.49
34	28599.529	5198.494
35	28695.794	96.265
36	29922.039	1226.245
37	30250.529	328.49
38	37724.823	7474.294
39	37750.944	26.121
40	39625.847	1874.903
41	40681.031	1055.184
42	43704.142	3023.111
43	45097.049	1392.907
44	51474.761	6377.712
45	52918.161	1443.4
46	53738.681	820.52
47	54629.356	890.675
48	58312.855	3683.499
49	76574.979	18262.124
50	79185.745	2610.766
51	100134.112	20948.367
52	107957.275	7823.163
53	111909.582	3952.307
54	116551.703	4642.121
55	121514.401	4962.698
56	123473.743	1959.342
57	150820.39500000002	27346.652
58	153655.654	2835.259
59	156368.973	2713.319
60	161755.768	5386.795
61	165104.26	3348.492
62	169288.639	4184.379
63	171296.337	2007.698
64	174415.743	3119.406
65	177652.426	3236.683
66	178483.279	830.853
67	178753.058	269.779
68	181892.348	3139.29
69	183453.864	1561.516
70	185254.784	1800.92
71	188154.234	2899.45
72	191740.954	3586.72
73	202175.523	10434.569
74	206575.499	4399.976
75	207343.005	767.506
76	210358.75	3015.745
77	211818.742	1459.992
78	216739.184	4920.442
79	217129.253	390.069
80	221172.878	4043.625
81	221435.06	262.182
82	226779.028	5343.968
83	226793.475	14.447
84	228357.408	1563.933
85	230964.42	2607.012
86	233996.584	3032.164
87	236626.302	2629.718
88	239852.811	3226.509
89	242929.72	3076.909
90	259996.451	17066.731
91	275540.746	15544.295
92	276582.12	1041.374
93	282324.605	5742.485
94	287465.005	5140.4
95	290950.403	3485.398
96	325074.364	34123.961
97	329740.001	4665.637
98	337830.51	8090.509
99	338078.11	247.6
100	342929.622	4851.512
101	356335.758	13406.136
102	402824.218	46488.46
103	407703.31	4879.092
104	487697.898	79994.588
105	532910.748	45212.85
106	540878.582	7967.834
107	550857.7	9979.118
108	554345.998	3488.298
109	558855.579	4509.581
110	562141.182	3285.603
111	566054.664	3913.482
112	602227.806	36173.142
113	634510.324	32282.518
114	645766.299	11255.975
115	651217.986	5451.687
116	654906.231	3688.245
117	657460.269	2554.038
118	659722.729	2262.46
119	670102.188	10379.459
120	688132.528	18030.34
121	726722.792	38590.264
122	727076.027	353.235
123	729259.38	2183.353
124	729390.725	131.345
125	738222.34	8831.615
126	752420.131	14197.791
127	754583.884	2163.753
128	755823.458	1239.574
129	763533.599	7710.141
130	768757.163	5223.564
131	781828.996	13071.833
132	787859.568	6030.572
133	792172.964	4313.396
134	799175.385	7002.421
135	818811.876	19636.491
136	831858.672	13046.796
137	833702.839	1844.167
138	846918.749	13215.91
139	854466.878	7548.129
140	864379.591	9912.713
141	901431.113	37051.522
142	924789.364	23358.251
143	927953.267	3163.903
144	934424.843	6471.576
145	943401.957	8977.114
146	946371.328	2969.371
147	950828.731	4457.403
148	953901.383	3072.652
149	954243.85	342.467
150	993164.064	38920.214
151	997899.216	4735.152
152	1013347.321	15448.105
153	1028350.0	15002.679
154	1033086.682	4736.682
155	1045942.187	12855.505
156	1048994.2850000001	3052.098
157	1060463.386	11469.101
158	1060699.7889999999	236.403
159	1066772.977	6073.188
160	1067229.403	456.426
