quine	time	sincelast
1	4.114	4.114
2	57.367	53.253
3	128.16500000000002	70.798
4	144.561	16.396
5	287.197	142.636
6	338.387	51.19
7	398.272	59.885
8	407.767	9.495000000000001
9	422.039	14.272
10	436.139	14.1
11	716.358	280.219
12	717.017	0.659
13	750.042	33.025
14	755.489	5.447
15	792.581	37.092
16	968.979	176.398
17	974.455	5.476
18	975.054	0.599
19	982.5	7.446
20	1007.223	24.723
21	1035.0639999999999	27.841
22	1464.185	429.121
23	1511.183	46.998
24	1537.629	26.446
25	1759.911	222.282
26	1818.611	58.7
27	1871.238	52.627
28	1871.596	0.358
29	1872.693	1.097
30	1873.487	0.794
31	1885.851	12.364
32	1900.549	14.698
33	2028.021	127.472
34	2136.949	108.928
35	2166.184	29.235
36	2273.012	106.828
37	2343.051	70.039
38	2612.187	269.136
39	2645.407	33.22
40	2670.3	24.893
41	2720.468	50.168
42	2730.108	9.64
43	2733.961	3.853
44	2744.273	10.312
45	2770.632	26.359
46	2929.012	158.38
47	3003.158	74.146
48	3480.305	477.147
49	3566.847	86.542
50	3603.503	36.656
51	3893.157	289.654
52	4181.214	288.057
53	4270.615	89.401
54	4450.973	180.358
55	4509.93	58.957
56	4603.57	93.64
57	5082.736	479.166
58	5562.415	479.679
59	5602.562	40.147
60	5857.237	254.675
61	5898.227	40.99
62	5903.609	5.382
63	6009.914	106.305
64	6046.218	36.304
65	6253.087	206.869
66	6327.96	74.873
67	6345.723	17.763
68	6502.713	156.99
69	6781.852	279.139
70	7167.042	385.19
71	7535.838	368.796
72	7583.55	47.712
73	7593.666	10.116
74	7649.728	56.062
75	8253.769	604.041
76	8311.722	57.953
77	8381.874	70.152
78	8393.337	11.463
79	8422.043	28.706
80	8615.231	193.188
81	8712.113	96.882
82	8826.952	114.839
83	8829.795	2.843
84	8927.672	97.877
85	9066.752	139.07999999999998
86	9146.611	79.859
87	9204.364	57.753
88	9259.984	55.62
89	9339.163	79.179
90	9388.567	49.404
91	9490.334	101.767
92	9910.532	420.198
93	9971.392	60.86
94	10477.639	506.247
95	10494.254	16.615000000000002
96	10871.271	377.017
97	10925.412	54.141
98	11101.09	175.678
99	12246.689	1145.599
100	13436.814	1190.125
101	13438.583	1.769
102	13497.509	58.926
103	13568.121	70.612
104	13630.209	62.088
105	13973.637	343.428
106	13984.896	11.259
107	14008.37	23.474
108	14232.846	224.476
109	15261.432	1028.586
110	15330.16	68.728
111	15533.138	202.978
112	16142.498	609.36
113	16452.453	309.95500000000004
114	18077.626	1625.173
115	18255.048	177.422
116	18488.882	233.834
117	18567.768	78.886
118	18646.293	78.525
119	18649.916	3.623
120	18681.879999999997	31.964
121	18904.832	222.952
122	19274.621	369.789
123	19396.198	121.577
124	19922.404	526.206
125	19939.944	17.54
126	20033.023	93.079
127	20064.166	31.143
128	20095.199	31.033
129	20532.8	437.601
130	20535.174	2.374
131	20631.861	96.687
132	20636.179	4.318
133	20700.207	64.02799999999999
134	20787.45	87.243
135	20844.175	56.725
136	21411.402	567.227
137	21488.265	76.863
138	21521.409	33.144
139	21929.81	408.401
140	22107.272	177.462
141	24072.116	1964.844
142	24286.842	214.726
143	24376.947	90.105
144	24863.868	486.921
145	24892.411	28.543
146	25242.417	350.006
147	25528.776	286.359
148	25552.246	23.47
149	26646.928	1094.682
150	26746.266	99.338
151	27016.164	269.898
152	27291.179	275.015
153	27569.457	278.278
154	28558.733	989.276
155	28746.976	188.243
156	28777.997	31.021
157	28782.903	4.906
158	29107.48	324.577
159	29190.013	82.533
160	29216.1	26.087
161	29767.492	551.392
162	30082.609	315.117
163	30157.707	75.098
164	30199.586	41.879
165	30254.622	55.036
166	30279.034	24.412
167	30482.197	203.163
168	30706.66	224.463
