quine	time	sincelast
1	22.617	22.617
2	848.859	826.242
3	896.962	48.103
4	963.136	66.174
5	1090.115	126.979
6	1091.976	1.861
7	1130.385	38.409
8	1330.821	200.436
9	2303.194	972.373
10	2644.861	341.667
11	3027.206	382.345
12	3226.157	198.951
13	3748.579	522.422
14	4043.821	295.242
15	4371.277	327.456
16	4621.795	250.518
17	5388.229	766.434
18	5582.123	193.894
19	5904.322	322.199
20	8031.742	2127.42
21	8524.417	492.675
22	9005.876	481.459
23	10465.511	1459.635
24	11150.754	685.243
25	12148.773	998.019
26	13245.641	1096.868
27	13605.898	360.257
28	14335.997	730.099
29	14387.042	51.045
30	19595.078	5208.036
31	20646.222	1051.144
32	21409.0	762.778
33	24707.983	3298.983
34	29983.338	5275.355
35	30088.838	105.5
36	31285.752	1196.914
37	31630.901	345.149
38	39289.707	7658.806
39	39316.758	27.051
40	41284.891	1968.133
41	42385.948	1101.057
42	45485.777	3099.829
43	46894.522	1408.745
44	53306.846	6412.324
45	54746.419	1439.573
46	55578.842	832.423
47	56548.81	969.968
48	60502.527	3953.717
49	80903.419	20400.892
50	83841.611	2938.192
51	107267.828	23426.217
52	115449.538	8181.71
53	119654.828	4205.29
54	124618.459	4963.631
55	130152.01	5533.551
56	132219.012	2067.002
57	158001.985	25782.973
58	160730.534	2728.549
59	163223.762	2493.228
60	168498.737	5274.975
61	171968.949	3470.212
62	176212.954	4244.005
63	178302.203	2089.249
64	181453.547	3151.344
65	184720.259	3266.712
66	185612.423	892.164
67	185912.298	299.875
68	189105.054	3192.756
69	190708.068	1603.014
70	192481.033	1772.965
71	195487.95	3006.917
72	199161.563	3673.613
73	209222.911	10061.348
74	213396.565	4173.654
75	214175.279	778.714
76	217012.64	2837.361
77	218379.484	1366.844
78	223046.178	4666.694
79	223432.362	386.184
80	227326.466	3894.104
81	227597.656	271.19
82	232677.67	5080.014
83	232691.658	13.988
84	234198.433	1506.775
85	236653.631	2455.198
86	239520.552	2866.921
87	242110.556	2590.004
88	245330.401	3219.845
89	248395.688	3065.287
90	264528.94200000004	16133.254
91	279931.772	15402.83
92	280963.487	1031.7150000000001
93	286488.229	5524.742
94	291554.476	5066.247
95	294960.622	3406.146
96	328621.895	33661.273
97	333401.022	4779.127
98	341396.042	7995.02
99	341666.858	270.816
100	346468.178	4801.32
101	360400.353	13932.175
102	408836.564	48436.211
103	413990.398	5153.834
104	494835.446	80845.048
105	540765.804	45930.358
106	548780.979	8015.175
107	558740.167	9959.188
108	562354.774	3614.607
109	566951.966	4597.192
110	570306.006	3354.04
111	574409.685	4103.679
112	611323.729	36914.044
113	644050.009	32726.28
114	655345.364	11295.355
115	660901.049	5555.685
116	664637.419	3736.37
117	667253.729	2616.31
118	669625.444	2371.715
119	680265.259	10639.815
120	698600.122	18334.863
121	737125.312	38525.19
122	737466.08	340.768
123	739639.91	2173.83
124	739772.498	132.588
125	748246.278	8473.779999999999
126	761682.12	13435.842
127	763598.588	1916.468
128	764729.653	1131.065
129	771916.084	7186.431
130	776927.992	5011.908
131	789022.121	12094.129
132	794379.029	5356.908
133	798476.854	4097.825
134	805066.763	6589.909
135	821818.648	16751.885000000002
136	833590.17	11771.522
137	835325.956	1735.786
138	847839.472	12513.516
139	854807.883	6968.411
140	863472.132	8664.249
141	896249.47	32777.338
142	915625.185	19375.715
143	918369.111	2743.926
144	924365.184	5996.073
145	933325.319	8960.135
146	936339.436	3014.117
147	940774.626	4435.1900000000005
148	943822.583	3047.957
149	944152.846	330.263
150	982028.047	37875.201
151	986288.353	4260.306
152	1001111.606	14823.253
153	1014875.44	13763.834
154	1019558.928	4683.488
155	1032546.95	12988.022
156	1035620.936	3073.986
157	1047259.186	11638.25
158	1047508.593	249.407
159	1053929.013	6420.42
160	1054400.341	471.328
161	1066294.7140000002	11894.373
162	1073731.135	7436.421
163	1088465.716	14734.581
164	1158516.297	70050.581
165	1170632.9300000002	12116.633
166	1179411.503	8778.573
167	1194957.652	15546.149
168	1201701.073	6743.421
169	1220787.806	19086.733
170	1248501.547	27713.741
171	1261168.833	12667.286
172	1292752.482	31583.649
173	1311651.2349999999	18898.753
174	1313067.211	1415.976
175	1377262.31	64195.099
176	1378822.229	1559.919
177	1419249.461	40427.232
178	1426619.343	7369.882
179	1428713.795	2094.452
180	1455377.252	26663.457
181	1465096.414	9719.162
182	1566336.716	101240.302
183	1647576.054	81239.338
184	1657779.379	10203.325
185	1714445.303	56665.924
186	1732955.235	18509.932
187	1810586.494	77631.259
188	1827612.854	17026.36
189	1853515.38	25902.526
190	1865067.276	11551.896
191	1876186.541	11119.265
192	2042928.733	166742.192
193	2089178.09	46249.357
194	2145678.148	56500.058
195	2202975.594	57297.446
196	2276030.139	73054.545
197	2278051.884	2021.745
198	2279541.576	1489.692
199	2333694.665	54153.089
200	2342522.664	8827.999
201	2343301.534	778.87
202	2363695.666	20394.132
203	2394986.557	31290.891
204	2404455.147	9468.59
205	2487792.222	83337.075
206	2515169.177	27376.955
207	2515498.919	329.742
208	2524896.112	9397.193
209	2552348.158	27452.046
210	2562519.172	10171.014
211	2642006.96	79487.788
212	2644616.5949999997	2609.635
213	2650174.849	5558.254
214	2654805.366	4630.517
215	2683419.952	28614.586
216	2712288.951	28868.999
217	2714231.35	1942.399
218	2718882.684	4651.334
219	2722301.852	3419.168
220	2744400.064	22098.212
221	2755359.038	10958.974
222	2791286.552	35927.514
223	2809485.677	18199.125
224	2856703.696	47218.019
225	2881912.945	25209.249
226	2931350.565	49437.62
227	2962523.97	31173.405
228	2982310.231	19786.261
229	3024543.914	42233.683
230	3054255.361	29711.447
231	3056595.102	2339.741
232	3091667.472	35072.369999999995
233	3099498.642	7831.17
234	3099634.689	136.047
235	3105178.006	5543.317
236	3109900.889	4722.883
237	3110072.738	171.849
238	3166765.178	56692.44
239	3247250.423	80485.245
240	3254019.055	6768.632
241	3260025.166	6006.111
242	3294293.273	34268.107
243	3313850.503	19557.23
244	3360394.478	46543.975
245	3367759.916	7365.438
246	3374796.51	7036.594
247	3401873.037	27076.527
248	3407287.166	5414.129
249	3416055.182	8768.016
250	3483382.108	67326.926
251	3560061.814	76679.706
252	3568944.379	8882.564999999999
253	3584446.87	15502.491
254	3615127.985	30681.115
255	3642362.291	27234.306
256	3643500.605	1138.314
257	3662758.81	19258.205
258	3699666.604	36907.794
259	3838475.182	138808.578
260	3880792.457	42317.275
261	3937080.327	56287.87
262	3949365.039	12284.712
263	3953879.68	4514.641
264	3980634.021	26754.341
265	3993567.433	12933.412
266	3993845.956	278.523
267	4008351.311	14505.355
268	4014525.502	6174.191
269	4026429.138	11903.636
270	4041733.484	15304.346
271	4048799.332	7065.848
272	4053842.355	5043.023
273	4057471.186	3628.831
274	4077639.736	20168.55
275	4083341.337	5701.601
276	4096769.413	13428.076
277	4109082.817	12313.404
278	4117746.062	8663.244999999999
279	4124157.802	6411.74
280	4175990.092	51832.29
281	4200542.863	24552.771
282	4206399.763	5856.9
283	4237420.304	31020.541
284	4261066.968	23646.664
285	4267501.047	6434.079
286	4273232.704	5731.657
287	4282254.329	9021.625
288	4283110.821	856.492
289	4294720.93	11610.109
290	4298966.427	4245.497
291	4305199.99	6233.563
292	4307621.226	2421.236
293	4340203.568	32582.342
294	4370422.223	30218.655
295	4374591.707	4169.484
296	4377388.305	2796.598
297	4390069.183	12680.878
298	4392685.399	2616.216
299	4403463.897	10778.498
300	4429630.962	26167.065
301	4431131.27	1500.308
302	4441609.811	10478.541
303	4447471.454	5861.643
304	4450523.432	3051.978
305	4490456.144	39932.712
306	4512960.08	22503.936
307	4644873.769	131913.689
308	4661687.794	16814.025
309	4802371.608	140683.814
310	4808555.486	6183.878
311	4841201.168	32645.682
312	5057719.989	216518.821
313	5149315.682	91595.693
314	5257368.603	108052.921
315	5293856.388	36487.785
